CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type
"52","Barbados","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.3","","C","99.1","","C","107.3","","C","103.9","","C","106.4","","C","97.0","","C","91.1","","C","93.9","","C","92.9","","C","96.1","","C","98.5","","C","99.8","","C","104.0","","C","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"112","Belarus","743","N","Primary completion rate, both sexes","94.2","","C","93.6","","C","88.9","","C","95.1","","C","96.8","","C","94.2","","C","93.6","","C","93.6","","C","","","","96.2","","C","100.0","","C","104.7","","C","130.6","","C","102.0","","C","101.8","","C","97.9","","C","96.7","","C","95.3","","C","98.1","","C","104.8","","C","105.9","","C","106.9","","C","103.3","","C","99.8","","C","","",""," "," "," "," "," "," "," "," "," "
"56","Belgium","743","N","Primary completion rate, both sexes","","","","79.1","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.9","","C","86.1","","C","86.7","","C","88.5","","C","90.6","","C"," "," "," ","90.0","","C","90.1","","C","","",""," "," "," "," "," "," "," "," "," "
"84","Belize","743","N","Primary completion rate, both sexes","","","","","","","93.8","","C","","","","","","","88.9","","C","95.7","","C","","","","","","","98.9","","C","100.8","","C","103.0","","C","","","","102.2","","E","103.7","","C","105.3","","C","104.8","","C","106.8","","C","102.4","","C","107.4","","C","108.3","","C","111.5","","C","116.1","","C","109.1","","C","","",""," "," "," "," "," "," "," "," "," "
"204","Benin","743","N","Primary completion rate, both sexes","18.7","","C","21.2","","C","21.5","","C","23.6","","C","25.5","","C","29.9","","C","32.0","","C","34.4","","C","37.1","","C","","","","37.3","","E","41.0","","C","43.0","","C","47.2","","C","50.8","","C"," "," "," "," "," "," ","","","","62.0","","C","","","","64.8","","C","69.5","","C","70.5","","C","75.7","","C","","",""," "," "," "," "," "," "," "," "," "
"60","Bermuda","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.7","","C","102.5","","C","100.4","","C","95.4","","C","95.4","","C","93.6","","C","","","","","","","","","","99.9","","C","90.7","","C","87.8","","C","88.9","","C","","",""," "," "," "," "," "," "," "," "," "
"64","Bhutan","743","N","Primary completion rate, both sexes","","","","","","","","","","24.0","","C","28.4","","C","","","","","","","","","","46.7","","C","50.3","","C","51.0","","C","52.2","","C","","","","","","","62.8","","C","69.1","","C","74.3","","C","75.9","","C","81.7","","C","84.0","","C","90.4","","C","91.6","","C","101.3","","C","98.4","","C","","",""," "," "," "," "," "," "," "," "," "
"68","Bolivia","743","N","Primary completion rate, both sexes","70.2","","C","73.1","","C","67.7","","C","81.2","","C","82.5","","C","84.5","","C","83.9","","C","87.3","","C","83.7","","C","94.8","","C","96.0","","C","95.8","","C","99.2","","C","98.0","","C","","","","","","","99.1","","C","96.1","","C","97.1","","C","92.3","","C","92.9","","C","92.3","","C","93.4","","C","89.4","","C","","",""," "," "," "," "," "," "," "," "," "
"70","Bosnia and Herzegovina","743","N","Primary completion rate, both sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"72","Botswana","743","N","Primary completion rate, both sexes","88.5","","C","89.0","","C","89.7","","C","89.0","","C","93.4","","C","89.8","","C","91.4","","C","","","","91.4","","C","89.2","","C","89.1","","C","91.5","","C","92.8","","C","93.0","","C","93.0","","E","93.3","","E","96.5","","C","92.7","","C","93.6","","C","94.7","","E","","","","","","","97.7","","C","","","","","",""," "," "," "," "," "," "," "," "," "
