CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type
"112","Belarus","745","N","Primary completion rate, girls","","","","","","","","","","95.1","","C","95.5","","C","92.3","","C","92.3","","C","91.5","","C","","","","95.5","","C","99.6","","C","104.2","","C","130.0","","C","102.1","","C","100.0","","C","95.5","","C","94.9","","C","94.5","","C","97.9","","C","","","","","","","106.4","","C","103.1","","C","99.6","","C","","",""," "," "," "," "," "," "," "," "," "
"56","Belgium","745","N","Primary completion rate, girls","","","","82.0","","C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.9","","C","88.0","","C","88.7","","C","90.3","","C","92.3","","C"," "," "," ","91.7","","C","92.4","","C","","",""," "," "," "," "," "," "," "," "," "
"84","Belize","745","N","Primary completion rate, girls","","","","","","","93.5","","C","","","","","","","89.2","","C","95.1","","C","","","","","","","98.3","","C","98.4","","C","104.6","","C","","","","104.3","","E","103.7","","C","104.8","","C","103.4","","C","109.6","","C","103.5","","C","109.7","","C","106.5","","C","113.1","","C","118.0","","C","109.8","","C","","",""," "," "," "," "," "," "," "," "," "
"204","Benin","745","N","Primary completion rate, girls","11.2","","C","13.3","","C","13.3","","C","14.6","","C","15.9","","C","19.0","","C","19.8","","C","21.5","","C","23.4","","C","","","","25.3","","E","28.2","","C","29.7","","C","34.0","","C","39.0","","C"," "," "," "," "," "," ","","","","51.5","","C","","","","56.0","","C","61.5","","C","62.7","","C","68.4","","C","","",""," "," "," "," "," "," "," "," "," "
"60","Bermuda","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.7","","C","104.6","","C","103.0","","E","","","","","","","","","","","","","","","","","","","100.0","","E","83.6","","C","78.4","","C","88.3","","C","","",""," "," "," "," "," "," "," "," "," "
"64","Bhutan","745","N","Primary completion rate, girls","","","","","","","","","","20.2","","C","25.0","","C","","","","","","","","","","41.5","","C","45.9","","C","47.3","","C","48.4","","C","","","","","","","","","","","","","74.5","","C","","","","84.8","","C","87.9","","C","96.4","","C","94.6","","C","103.4","","C","100.7","","C","","",""," "," "," "," "," "," "," "," "," "
"68","Bolivia","745","N","Primary completion rate, girls","63.3","","C","66.2","","C","63.1","","C","78.0","","C","79.4","","C","81.7","","C","82.0","","C","85.5","","C","80.8","","C","91.1","","C","93.0","","C","92.8","","C","95.8","","C","95.7","","C","","","","","","","98.1","","C","95.8","","C","96.5","","C","92.1","","C","93.2","","C","92.3","","C","93.4","","C","89.7","","C","","",""," "," "," "," "," "," "," "," "," "
"70","Bosnia and Herzegovina","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," ","","",""," "," "," "," "," "," "," "," "," "
"72","Botswana","745","N","Primary completion rate, girls","97.0","","C","96.9","","C","96.8","","C","95.5","","C","100.7","","C","95.4","","C","96.5","","C","","","","94.4","","C","92.3","","C","91.5","","C","94.4","","C","95.0","","C","95.3","","C","95.4","","E","97.2","","E","99.7","","C","94.7","","C","95.2","","C","95.3","","E","","","","","","","99.2","","C","","","","","",""," "," "," "," "," "," "," "," "," "
"76","Brazil","745","N","Primary completion rate, girls","","","","","",""," "," "," "," "," "," "," "," "," ","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"92","British Virgin Islands","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," "," "," ","","","","","","","","","","","",""," "," "," "," "," "," "," "," "," "
"96","Brunei Darussalam","745","N","Primary completion rate, girls","","","","","","","","","","","","","","","","","","","","","","112.2","","C","115.4","","C","115.3","","C","113.0","","C","114.6","","C","111.5","","C","113.3","","C","108.7","","C","109.6","","C","109.3","","C","110.5","","C","110.1","","C","107.2","","C","107.8","","C","108.4","","C","100.8","","C","97.2","","C","","",""," "," "," "," "," "," "," "," "," "
"100","Bulgaria","745","N","Primary completion rate, girls","99.5","","C","91.6","","C","87.6","","C","86.3","","C","88.7","","C","88.1","","C","90.7","","C","94.5","","C","93.5","","C","95.1","","C","96.2","","C","101.5","","C","97.1","","C","98.2","","C","99.6","","C","99.3","","C","97.4","","C","97.2","","C","88.9","","C","94.6","","C","105.6","","C","104.3","","C","97.7","","C","96.2","","C","","",""," "," "," "," "," "," "," "," "," "
"854","Burkina Faso","745","N","Primary completion rate, girls","14.2","","C","15.1","","C","21.7","","C","19.5","","C","20.5","","C","15.3","","C","18.0","","C","","","","","","","19.2","","C","20.9","","C","21.6","","C","22.8","","C","24.8","","C","26.2","","C","27.5","","C","28.9","","C","30.7","","C","34.3","","C","40.4","","C","44.1","","C"," "," "," ","56.2","","C","62.9","","C","","",""," "," "," "," "," "," "," "," "," "
"108","Burundi","745","N","Primary completion rate, girls","33.2","","C","41.4","","C","41.2","","C","44.2","","C","","","","","","","","","","","","","","","","","","","21.6","","C","21.6","","C","21.8","","C","24.8","","C","25.4","","C","29.2","","C"," "," "," ","34.8","","C","37.9","","C","45.6","","C","49.0","","C","54.8","","C","62.9","","C","72.4","","C","","",""," "," "," "," "," "," "," "," "," "
